battery_id,cycle,type,capacity,soh,health_state
B0005,2,discharge,1.8564874208181574,1.0,ЗЕЛЕНЫЙ
B0005,4,discharge,1.846327249719927,0.9945272071416714,ЗЕЛЕНЫЙ
B0005,6,discharge,1.8353491942234077,0.9886138595081705,ЗЕЛЕНЫЙ
B0005,8,discharge,1.8352625275821128,0.9885671763794173,ЗЕЛЕНЫЙ
B0005,10,discharge,1.8346455082120419,0.9882348178817771,ЗЕЛЕНЫЙ
B0005,12,discharge,1.8356616600675495,0.9887821697485943,ЗЕЛЕНЫЙ
B0005,14,discharge,1.8351461429226603,0.9885044855913476,ЗЕЛЕНЫЙ
B0005,16,discharge,1.8257567905665537,0.9834468955151549,ЗЕЛЕНЫЙ
B0005,18,discharge,1.8247738529891333,0.9829174345738104,ЗЕЛЕНЫЙ
B0005,20,discharge,1.824613268496936,0.982830935473199,ЗЕЛЕНЫЙ
B0005,22,discharge,1.8246195526864504,0.9828343204622076,ЗЕЛЕНЫЙ
B0005,25,discharge,1.8142019357673917,0.9772228539894279,ЗЕЛЕНЫЙ
B0005,27,discharge,1.8137521577549054,0.9769805803238794,ЗЕЛЕНЫЙ
B0005,29,discharge,1.8134404914735822,0.9768127007692816,ЗЕЛЕНЫЙ
B0005,31,discharge,1.8025980036306504,0.9709723768751647,ЗЕЛЕНЫЙ
B0005,33,discharge,1.80210690024615,0.9707078432300706,ЗЕЛЕНЫЙ
B0005,35,discharge,1.802579500826209,0.9709624103091467,ЗЕЛЕНЫЙ
B0005,37,discharge,1.8030683142834096,0.9712257104811376,ЗЕЛЕНЫЙ
B0005,39,discharge,1.8027776247196041,0.9710691300699019,ЗЕЛЕНЫЙ
B0005,42,discharge,1.8470259949329193,0.9949035873989017,ЗЕЛЕНЫЙ
B0005,46,discharge,1.847417311283644,0.995114370594272,ЗЕЛЕНЫЙ
B0005,50,discharge,1.8361774213478947,0.9890599854098058,ЗЕЛЕНЫЙ
B0005,54,discharge,1.8257807475776242,0.9834597999985366,ЗЕЛЕНЫЙ
B0005,58,discharge,1.8251136435078368,0.9831004632950897,ЗЕЛЕНЫЙ
B0005,62,discharge,1.8255815042203762,0.9833524772367372,ЗЕЛЕНЫЙ
B0005,66,discharge,1.8140311275083907,0.9771308478400268,ЗЕЛЕНЫЙ
B0005,70,discharge,1.8147691941158939,0.9775284086310274,ЗЕЛЕНЫЙ
B0005,74,discharge,1.813969388710352,0.9770975921350076,ЗЕЛЕНЫЙ
B0005,78,discharge,1.802765665167823,0.9710626880376818,ЗЕЛЕНЫЙ
B0005,82,discharge,1.804077040117352,0.9717690623092355,ЗЕЛЕНЫЙ
B0005,86,discharge,1.8518025516704486,0.9974764875349146,ЗЕЛЕНЫЙ
B0005,90,discharge,1.8307038456739428,0.9861116348782737,ЗЕЛЕНЫЙ
B0005,94,discharge,1.8199041089501267,0.9802943389447215,ЗЕЛЕНЫЙ
B0005,98,discharge,1.8093079637028517,0.9745867078945714,ЗЕЛЕНЫЙ
B0005,102,discharge,1.80460990458052,0.9720560906279802,ЗЕЛЕНЫЙ
B0005,106,discharge,1.7993770651972192,0.9692374130950105,ЗЕЛЕНЫЙ
B0005,110,discharge,1.7884432335370462,0.9633478867036308,ЗЕЛЕНЫЙ
B0005,114,discharge,1.7829230484252723,0.9603744299218223,ЗЕЛЕНЫЙ
B0005,118,discharge,1.7730337158018288,0.9550475246530081,ЗЕЛЕНЫЙ
B0005,122,discharge,1.773037755078937,0.9550497004162602,ЗЕЛЕНЫЙ
B0005,126,discharge,1.7678721106662054,0.9522672175646096,ЗЕЛЕНЫЙ
B0005,130,discharge,1.7623150704093087,0.9492739086983165,ЗЕЛЕНЫЙ
B0005,134,discharge,1.7676172924938447,0.9521299593373235,ЗЕЛЕНЫЙ
B0005,136,discharge,1.762668359743147,0.9494642085785509,ЗЕЛЕНЫЙ
B0005,140,discharge,1.7517304870664143,0.9435725054869607,ЗЕЛЕНЫЙ
B0005,144,discharge,1.7418496047960008,0.9382501520146926,ЗЕЛЕНЫЙ
B0005,148,discharge,1.7360913511847138,0.935148459244402,ЗЕЛЕНЫЙ
B0005,150,discharge,1.7936240148573608,0.9661385230754256,ЗЕЛЕНЫЙ
B0005,154,discharge,1.7831890223273275,0.9605176972012408,ЗЕЛЕНЫЙ
B0005,158,discharge,1.7673642076278957,0.9519936347583842,ЗЕЛЕНЫЙ
B0005,162,discharge,1.7570177850353066,0.9464205172265512,ЗЕЛЕНЫЙ
B0005,166,discharge,1.7468706179837907,0.9409547290193551,ЗЕЛЕНЫЙ
B0005,170,discharge,1.7417172507457144,0.9381788592880077,ЗЕЛЕНЫЙ
B0005,174,discharge,1.7364225056478186,0.9353268361401414,ЗЕЛЕНЫЙ
B0005,178,discharge,1.7263217239235826,0.92988603346571,ЗЕЛЕНЫЙ
B0005,182,discharge,1.7158065389330133,0.9242220117908766,ЗЕЛЕНЫЙ
B0005,186,discharge,1.710533351135192,0.9213816005181208,ЗЕЛЕНЫЙ
B0005,190,discharge,1.706014499648521,0.9189475137389712,ЗЕЛЕНЫЙ
B0005,194,discharge,1.7003110272642588,0.9158753289666399,ЗЕЛЕНЫЙ
B0005,198,discharge,1.6945798601797895,0.9127882263985312,ЗЕЛЕНЫЙ
B0005,202,discharge,1.6849029086609286,0.9075757205607075,ЗЕЛЕНЫЙ
B0005,206,discharge,1.6744741591159717,0.9019582574806932,ЗЕЛЕНЫЙ
B0005,210,discharge,1.6745692479879102,0.902009477257823,ЗЕЛЕНЫЙ
B0005,214,discharge,1.663716375981405,0.896163559916933,ЗЕЛЕНЫЙ
B0005,216,discharge,1.659013868748246,0.893630546668135,ЗЕЛЕНЫЙ
B0005,220,discharge,1.6538540573335014,0.8908512057704355,ЗЕЛЕНЫЙ
B0005,224,discharge,1.642653782130131,0.8848181591266643,ЗЕЛЕНЫЙ
B0005,228,discharge,1.6378578430223698,0.8822348186450748,ЗЕЛЕНЫЙ
B0005,232,discharge,1.6327350407099108,0.8794754127611387,ЗЕЛЕНЫЙ
B0005,236,discharge,1.6277528915533617,0.8767917699307696,ЗЕЛЕНЫЙ
B0005,240,discharge,1.622125485521159,0.8737605584239754,ЗЕЛЕНЫЙ
B0005,244,discharge,1.6113256603765849,0.8679432148624366,ЗЕЛЕНЫЙ
B0005,248,discharge,1.6065631397488385,0.865377875300024,ЗЕЛЕНЫЙ
B0005,252,discharge,1.6015142233917594,0.8626582682073705,ЗЕЛЕНЫЙ
